Feature,Coefficient,AbsCoefficient
cat__MSZoning_Rare,-0.09336179309580095,0.09336179309580095
cat__Neighborhood_Crawfor,0.07568953752505544,0.07568953752505544
num__GrLivArea,0.06332411699171218,0.06332411699171218
cat__Functional_Typ,0.05624037911224242,0.05624037911224242
num__2ndFlrSF,0.052145050557501786,0.052145050557501786
cat__Neighborhood_StoneBr,0.05027610315134417,0.05027610315134417
num__1stFlrSF,0.05015921051565635,0.05015921051565635
cat__Exterior1st_BrkFace,0.049993497583074836,0.049993497583074836
num__OverallCond,0.04877992880959297,0.04877992880959297
cat__Functional_Rare,-0.04865194035262948,0.04865194035262948
cat__SaleCondition_Abnorml,-0.040846342619252955,0.040846342619252955
cat__Neighborhood_Edwards,-0.03911812979525139,0.03911812979525139
num__LotArea,0.039078500749280674,0.039078500749280674
cat__Neighborhood_IDOTRR,-0.037224935834850245,0.037224935834850245
cat__MSZoning_FV,0.03666895363849231,0.03666895363849231
cat__Condition1_Norm,0.03626692100257077,0.03626692100257077
cat__KitchenQual_Ex,0.035909400048630725,0.035909400048630725
num__TotalBsmtSF,0.03443833330300707,0.03443833330300707
cat__MSZoning_RL,0.031725754423085804,0.031725754423085804
cat__Neighborhood_BrkSide,0.03120215270817849,0.03120215270817849
cat__SaleCondition_Normal,0.03062129225269071,0.03062129225269071
cat__Neighborhood_Mitchel,-0.03037522893850475,0.03037522893850475
cat__SaleType_New,0.030234941366086388,0.030234941366086388
cat__BsmtExposure_Gd,0.029852811072886155,0.029852811072886155
num__OverallQual_Squared,0.02792886334793448,0.02792886334793448
num__BsmtFinSF1,0.027770713314163233,0.027770713314163233
cat__Neighborhood_MeadowV,-0.027617888876187293,0.027617888876187293
cat__Neighborhood_NWAmes,-0.02756127927272516,0.02756127927272516
cat__Condition1_Artery,-0.026564273701411324,0.026564273701411324
cat__SaleType_WD,-0.026498172118827486,0.026498172118827486
num__HouseAge,-0.026402126115888075,0.026402126115888075
num__YearBuilt,0.02630001101311125,0.02630001101311125
cat__Neighborhood_Somerst,0.0256785130936251,0.0256785130936251
cat__Heating_Rare,-0.025094732796767574,0.025094732796767574
cat__Exterior1st_Wd Sdng,-0.025068734101706795,0.025068734101706795
cat__Condition1_Rare,-0.02482563989662041,0.02482563989662041
cat__MSZoning_RH,0.024318094597556145,0.024318094597556145
cat__CentralAir_N,-0.024164841697697836,0.024164841697697836
cat__CentralAir_Y,0.024164841697696744,0.024164841697696744
cat__LotConfig_CulDSac,0.02398592224421124,0.02398592224421124
num__Qual_LivingArea,0.023626742304808563,0.023626742304808563
cat__Neighborhood_OldTown,-0.02270412883339681,0.02270412883339681
cat__GarageType_Rare,-0.0223771896258514,0.0223771896258514
num__OverallQual,0.021730925215825536,0.021730925215825536
cat__BsmtQual_Ex,0.02129166319214999,0.02129166319214999
cat__Street_Pave,0.02117983231833487,0.02117983231833487
cat__Street_Rare,-0.021179832318334833,0.021179832318334833
cat__GarageCond_Fa,-0.02103085558488984,0.02103085558488984
cat__Functional_Mod,-0.02057513691713212,0.02057513691713212
cat__Heating_GasW,0.020302074900104515,0.020302074900104515
cat__Foundation_PConc,0.019974856365130748,0.019974856365130748
cat__Foundation_BrkTil,-0.01947648111625498,0.01947648111625498
cat__Neighborhood_NoRidge,0.019021228947611556,0.019021228947611556
cat__LotConfig_FR2,-0.01885299274793253,0.01885299274793253
cat__Neighborhood_NridgHt,0.018670867935927263,0.018670867935927263
cat__GarageQual_Rare,0.018619020955387925,0.018619020955387925
cat__MasVnrType_Stone,0.01837286705959,0.01837286705959
cat__MasVnrType_BrkCmn,-0.01810934911528535,0.01810934911528535
cat__SaleCondition_Partial,0.017825965327197917,0.017825965327197917
cat__Exterior1st_Rare,-0.01766411759223891,0.01766411759223891
cat__BsmtFinType2_BLQ,-0.017437305109324723,0.017437305109324723
cat__HeatingQC_Ex,0.016403652897504558,0.016403652897504558
cat__Neighborhood_Gilbert,-0.01624215429047822,0.01624215429047822
cat__GarageType_Detchd,0.016060013428176072,0.016060013428176072
cat__Neighborhood_ClearCr,0.015408689780809467,0.015408689780809467
cat__LandSlope_Rare,-0.01532862773257642,0.01532862773257642
cat__SaleType_COD,-0.015284375842526506,0.015284375842526506
cat__BsmtExposure_No,-0.015255996591136425,0.015255996591136425
num__GarageCapacityArea,0.01467138804451625,0.01467138804451625
cat__SaleCondition_Family,-0.014660583353059383,0.014660583353059383
cat__GarageQual_Fa,-0.01448174944464043,0.01448174944464043
cat__Condition1_PosN,0.0143435008101361,0.0143435008101361
num__Fireplaces,0.01407376300933414,0.01407376300933414
cat__KitchenQual_TA,-0.013509019923420006,0.013509019923420006
cat__GarageType_Basment,-0.01287227208682671,0.01287227208682671
num__KitchenAbvGr,-0.012839688386598372,0.012839688386598372
num__GarageCars,0.01272522943170296,0.01272522943170296
cat__BsmtFinType1_LwQ,-0.012526114721370506,0.012526114721370506
cat__ExterCond_TA,0.012510908012265022,0.012510908012265022
cat__GarageCond_Rare,0.012300709154830659,0.012300709154830659
cat__BsmtCond_Fa,-0.012256374888249572,0.012256374888249572
cat__Neighborhood_Timber,-0.012205056558697637,0.012205056558697637
cat__BsmtFinType1_GLQ,0.012133108586013196,0.012133108586013196
cat__BsmtFinType2_Rare,0.012063061247347717,0.012063061247347717
cat__Fence_MnPrv,0.01189792346241275,0.01189792346241275
cat__KitchenQual_Gd,-0.011888466384110796,0.011888466384110796
cat__LandContour_HLS,0.011869816425064388,0.011869816425064388
cat__BsmtFinType2_Unf,0.011769264900848867,0.011769264900848867
cat__ExterCond_Fa,-0.011768075872594227,0.011768075872594227
cat__Fence_GdWo,-0.011707478382816964,0.011707478382816964
cat__BsmtFinType1_ALQ,0.011655956146004202,0.011655956146004202
cat__MiscFeature_Rare,-0.011648107988659562,0.011648107988659562
cat__MiscFeature_Shed,0.011648107988659543,0.011648107988659543
cat__Exterior2nd_Wd Sdng,0.011550013415753405,0.011550013415753405
cat__SaleType_Rare,0.011547606595268423,0.011547606595268423
cat__PavedDrive_Y,0.011447250255412229,0.011447250255412229
num__GarageYrBlt,0.011294201627858541,0.011294201627858541
cat__Neighborhood_Rare,0.011292501803381736,0.011292501803381736
cat__BsmtFinType1_Unf,-0.011288495580006956,0.011288495580006956
cat__Exterior1st_HdBoard,-0.011173536870339382,0.011173536870339382
cat__BsmtQual_TA,-0.011150764776103732,0.011150764776103732
cat__GarageType_BuiltIn,0.010949650169919483,0.010949650169919483
cat__Neighborhood_NAmes,-0.010886393303135136,0.010886393303135136
cat__ExterQual_Ex,0.010763873203642745,0.010763873203642745
cat__Alley_Grvl,-0.010762153836199818,0.010762153836199818
cat__Alley_Pave,0.010762153836199816,0.010762153836199816
cat__LandContour_Low,-0.010728285144147228,0.010728285144147228
cat__KitchenQual_Fa,-0.010511913741104063,0.010511913741104063
num__TotalBathrooms,0.010302098069009833,0.010302098069009833
num__WoodDeckSF,0.010285071979195518,0.010285071979195518
num__BsmtFinSF2,0.010256240701525936,0.010256240701525936
cat__Exterior1st_Plywood,-0.010072489356893987,0.010072489356893987
cat__LandSlope_Mod,0.00998057339410504,0.00998057339410504
cat__Neighborhood_SawyerW,-0.00993819758226235,0.00993819758226235
cat__Exterior1st_Stucco,0.009855193620770633,0.009855193620770633
cat__HouseStyle_2Story,-0.009839659361418724,0.009839659361418724
cat__Neighborhood_CollgCr,-0.009835883718588644,0.009835883718588644
cat__ExterCond_Gd,-0.009734632852313638,0.009734632852313638
cat__BldgType_TwnhsE,0.009524677500488892,0.009524677500488892
cat__BsmtFinType2_Rec,-0.009171476802392067,0.009171476802392067
cat__ExterCond_Rare,0.008991800712653483,0.008991800712653483
cat__Neighborhood_Sawyer,-0.008934265659015605,0.008934265659015605
cat__Exterior2nd_Stucco,0.008759594461967498,0.008759594461967498
cat__GarageCond_TA,0.008730146430064787,0.008730146430064787
cat__Exterior2nd_BrkFace,-0.00859117777990492,0.00859117777990492
cat__BsmtQual_Gd,-0.008576347937045299,0.008576347937045299
cat__HeatingQC_TA,-0.008545401005885085,0.008545401005885085
num__ScreenPorch,0.008492972763637988,0.008492972763637988
cat__BldgType_Duplex,-0.00844529464769029,0.00844529464769029
num__YearsSinceRemodel,-0.008349904512505208,0.008349904512505208
cat__GarageType_Attchd,0.008239798114572018,0.008239798114572018
cat__BsmtExposure_Av,-0.008144544420475073,0.008144544420475073
num__YearRemodAdd,0.00813853400543885,0.00813853400543885
cat__Functional_Min1,0.007985920921825923,0.007985920921825923
num__FullBath,0.007726930237922567,0.007726930237922567
cat__FireplaceQu_Fa,-0.007696850982840907,0.007696850982840907
cat__PavedDrive_N,-0.007668057332244315,0.007668057332244315
cat__BsmtCond_TA,0.007618274600036603,0.007618274600036603
cat__BldgType_Twnhs,-0.007483041204501389,0.007483041204501389
cat__HouseStyle_SFoyer,0.0072242081304228645,0.0072242081304228645
cat__Exterior2nd_Plywood,-0.0072035497455622466,0.0072035497455622466
cat__BsmtFinType2_ALQ,0.007172981820223051,0.007172981820223051
num__HalfBath,0.007161559749537255,0.007161559749537255
cat__Foundation_Slab,0.00713545293840741,0.00713545293840741
cat__SaleCondition_Rare,0.007059668392418595,0.007059668392418595
cat__Exterior1st_MetalSd,0.006959277924634124,0.006959277924634124
cat__HouseStyle_SLvl,0.00693789219236575,0.00693789219236575
cat__ExterQual_TA,-0.006913842729539669,0.006913842729539669
num__TotalPorchArea,0.006594529933497304,0.006594529933497304
cat__LotConfig_Rare,-0.006456769682263883,0.006456769682263883
cat__Exterior1st_CemntBd,-0.0064545708415874176,0.0064545708415874176
cat__BsmtExposure_Mn,-0.006452270061272188,0.006452270061272188
cat__HouseStyle_Rare,0.006060760825631821,0.006060760825631821
num__PoolArea,0.006025306556879166,0.006025306556879166
cat__FireplaceQu_Gd,0.005853407622215735,0.005853407622215735
cat__RoofMatl_Rare,0.0057583286802995156,0.0057583286802995156
cat__RoofMatl_CompShg,-0.005758328680299373,0.005758328680299373
cat__LotShape_IR2,0.005756957174002631,0.005756957174002631
num__BedroomAbvGr,-0.005579058371092721,0.005579058371092721
cat__LotConfig_Corner,0.0055536870080009305,0.0055536870080009305
num__LotFrontage,0.005531399597606802,0.005531399597606802
cat__LandSlope_Gtl,0.005348054338470385,0.005348054338470385
cat__LotShape_IR1,-0.00527939246792684,0.00527939246792684
cat__Electrical_FuseF,0.00524913753333087,0.00524913753333087
cat__HouseStyle_1.5Fin,-0.0051919549122425804,0.0051919549122425804
cat__HouseStyle_1Story,-0.005191246874755441,0.005191246874755441
cat__Utilities_Rare,-0.005130744138650328,0.005130744138650328
cat__Utilities_AllPub,0.005130744138650212,0.005130744138650212
cat__Foundation_Rare,-0.005085452625665264,0.005085452625665264
cat__Functional_Min2,0.005000777235698875,0.005000777235698875
cat__BldgType_1Fam,0.004830622578459325,0.004830622578459325
cat__BsmtCond_Gd,0.0048132754918213646,0.0048132754918213646
cat__Heating_GasA,0.004792657896665182,0.004792657896665182
cat__Exterior1st_WdShing,0.00465587016942835,0.00465587016942835
cat__BsmtFinType1_BLQ,0.004595548452991177,0.004595548452991177
cat__BsmtFinType1_Rec,-0.004570002883649146,0.004570002883649146
cat__HeatingQC_Fa,-0.0044242612161651314,0.0044242612161651314
cat__BsmtFinType2_LwQ,-0.004396526056706539,0.004396526056706539
num__BsmtFullBath,0.004312475135063003,0.004312475135063003
cat__LotConfig_Inside,-0.004229846822012434,0.004229846822012434
cat__GarageQual_TA,-0.004137271510749225,0.004137271510749225
cat__PavedDrive_P,-0.0037791929231634006,0.0037791929231634006
cat__Exterior2nd_AsbShng,-0.003626568644946481,0.003626568644946481
num__MasVnrArea,0.0035649372582200515,0.0035649372582200515
cat__Condition2_Norm,0.003558707835933757,0.003558707835933757
cat__Condition2_Rare,-0.0035587078359335966,0.0035587078359335966
num__TotRmsAbvGrd,0.0034178708479143875,0.0034178708479143875
num__TotalRooms,0.0034178708479101825,0.0034178708479101825
cat__Electrical_SBrkr,-0.0032633904235092226,0.0032633904235092226
num__YrSold,-0.003250348193836884,0.003250348193836884
cat__GarageFinish_Unf,-0.0031840749135513343,0.0031840749135513343
cat__RoofStyle_Rare,-0.0031548532770207284,0.0031548532770207284
cat__Electrical_Rare,-0.0029855211787750973,0.0029855211787750973
cat__GarageFinish_Fin,0.002744490390951515,0.002744490390951515
cat__Neighborhood_SWISU,0.0027159938662848007,0.0027159938662848007
num__EnclosedPorch,0.0026528886592603685,0.0026528886592603685
cat__Foundation_CBlock,-0.002548375561586902,0.002548375561586902
cat__Exterior1st_AsbShng,-0.0025478220633293027,0.0025478220633293027
cat__Fence_Rare,-0.0025044375575654647,0.0025044375575654647
cat__HeatingQC_Rare,-0.002459411026025826,0.002459411026025826
cat__Fence_GdPrv,0.002313992477968683,0.002313992477968683
cat__Condition1_RRAn,0.0022718172523965496,0.0022718172523965496
cat__RoofStyle_Hip,0.00218028647267533,0.00218028647267533
cat__ExterQual_Rare,-0.0020493289060037638,0.0020493289060037638
num__BsmtHalfBath,-0.0019330475221971722,0.0019330475221971722
cat__Neighborhood_BrDale,0.0018631169965604504,0.0018631169965604504
cat__ExterQual_Gd,-0.0018007015680857293,0.0018007015680857293
cat__LotShape_Reg,-0.001752985308803913,0.001752985308803913
cat__BldgType_2fmCon,0.0015730357732430319,0.0015730357732430319
num__LowQualFinSF,0.001566823429631687,0.001566823429631687
cat__BsmtQual_Fa,-0.0015645504789756409,0.0015645504789756409
cat__Exterior1st_VinylSd,0.0015174315281927572,0.0015174315281927572
cat__Condition1_Feedr,-0.001492325467079088,0.001492325467079088
num__MoSold,-0.0014877937465567045,0.0014877937465567045
num__BsmtUnfSF,0.0013840459930546086,0.0013840459930546086
cat__Exterior2nd_CmentBd,0.001321333903094547,0.001321333903094547
cat__LotShape_Rare,0.0012754206027288826,0.0012754206027288826
num__3SsnPorch,0.001271164640321234,0.001271164640321234
cat__FireplaceQu_Po,0.0012021360888909282,0.0012021360888909282
cat__Exterior2nd_HdBoard,-0.0011536901378821826,0.0011536901378821826
cat__Electrical_FuseA,0.0009997740689505804,0.0009997740689505804
num__MSSubClass,-0.00097873716964573,0.00097873716964573
cat__HeatingQC_Gd,-0.0009745796494221859,0.0009745796494221859
cat__RoofStyle_Gable,0.0009745668043545768,0.0009745668043545768
cat__Neighborhood_Blmngtn,0.00082483685430254,0.00082483685430254
cat__Exterior2nd_VinylSd,-0.0008072266695657531,0.0008072266695657531
cat__LandContour_Lvl,-0.000781918401123578,0.000781918401123578
num__GarageAge,-0.0006943983679571898,0.0006943983679571898
cat__FireplaceQu_TA,0.0006575759898891249,0.0006575759898891249
cat__MSZoning_RM,0.0006489904366555046,0.0006489904366555046
cat__Exterior2nd_Rare,-0.0006198175252373992,0.0006198175252373992
num__MiscVal,-0.0005979009378837248,0.0005979009378837248
cat__GarageFinish_RFn,0.000439584522611937,0.000439584522611937
num__GarageArea,-0.00043862051657303107,0.00043862051657303107
cat__LandContour_Bnk,-0.0003596128797869607,0.0003596128797869607
cat__Exterior2nd_MetalSd,0.0003594009421172686,0.0003594009421172686
num__OpenPorchSF,0.00027066129156983143,0.00027066129156983143
cat__MasVnrType_BrkFace,-0.00026351794431232355,0.00026351794431232355
cat__BsmtCond_Rare,-0.0001751752036090265,0.0001751752036090265
cat__FireplaceQu_Ex,-1.6268718149697012e-05,1.6268718149697012e-05
cat__Exterior2nd_Wd Shng,1.1687780163942238e-05,1.1687780163942238e-05
cat__PoolQC_Rare,0.0,0.0
